OriginalPath,NewPath,Status
./.claude/context,_archive_noncode/claude_config/context,Moved
./.claude/documents,_archive_noncode/claude_config/documents,Moved
./.claude/epics,_archive_noncode/claude_config/epics,Moved
./.claude/prds,_archive_noncode/claude_config/prds,Moved
./.claude/reports,_archive_noncode/claude_config/reports,Moved
./.claude/rules,_archive_noncode/claude_config/rules,Moved
./.claude/CLAUDE.md,_archive_noncode/claude_config/CLAUDE.md,Moved
./.claude/agents/code-analyzer.md,N/A,Skipped-Protected
./.claude/agents/file-analyzer.md,N/A,Skipped-Protected
./.claude/agents/parallel-worker.md,N/A,Skipped-Protected
./.claude/agents/test-runner.md,N/A,Skipped-Protected
./.claude/commands/code-rabbit.md,N/A,Skipped-Protected
./.claude/commands/context/create.md,N/A,Skipped-Protected
./.claude/commands/context/prime.md,N/A,Skipped-Protected
./.claude/commands/context/update.md,N/A,Skipped-Protected
./.claude/commands/pm/blocked.md,N/A,Skipped-Protected
./.claude/commands/pm/clean.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-close.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-decompose.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-edit.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-list.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-merge.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-oneshot.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-refresh.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-show.md,N/A,Skipped-Protected
./.claude/commands/pm/epic-start-worktree.md,N/A,Skipped-Protected
./docs,_archive_noncode/docs,Moved
./_reports,_archive_noncode/reports,Moved
./PasswordHashFixer/bin,_archive_noncode/build_artifacts/PasswordHashFixer/bin,Moved
./PasswordHashFixer/obj,_archive_noncode/build_artifacts/PasswordHashFixer/obj,Moved
./src/Backend/Core/LYBT.Infrastructure/obj,_archive_noncode/build_artifacts/src/Backend/Core/LYBT.Infrastructure/obj,Moved
./src/Backend/Core/LYBT.Models/obj,_archive_noncode/build_artifacts/src/Backend/Core/LYBT.Models/obj,Moved
./src/Backend/Modules/LYBT.Module.Auth/obj,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Auth/obj,Moved
./src/Backend/Modules/LYBT.Module.Consultation/bin,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Consultation/bin,Moved
./src/Backend/Modules/LYBT.Module.Consultation/obj,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Consultation/obj,Moved
./src/Backend/Modules/LYBT.Module.Formula/bin,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Formula/bin,Moved
./src/Backend/Modules/LYBT.Module.Formula/obj,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Formula/obj,Moved
./src/Backend/Modules/LYBT.Module.Herbs/obj,_archive_noncode/build_artifacts/src/Backend/Modules/LYBT.Module.Herbs/obj,Moved
./docs/00_inventory/summary.csv,_archive_noncode/docs/00_inventory/summary.csv,Moved-with-parent
./_reports/feature/compat/notes/diff-preview.patch,_archive_noncode/reports/feature/compat/notes/diff-preview.patch,Moved-with-parent
./_reports/overdesign/dryrun-diff.patch,_archive_noncode/reports/overdesign/dryrun-diff.patch,Moved-with-parent
./_reports/prescriptions/dryrun-diff.patch,_archive_noncode/reports/prescriptions/dryrun-diff.patch,Moved-with-parent
