ext,count,totalBytes
.dll,3477,(unknown)
.cs,3326,(unknown)
.cache,3115,(unknown)
.json,1863,(unknown)
.editorconfig,1365,(unknown)
.md,656,(unknown)
.pdb,654,(unknown)
.html,243,(unknown)
.targets,231,(unknown)
.props,231,(unknown)
.baml,211,(unknown)
.xml,136,(unknown)
.txt,122,(unknown)
.xaml,89,(unknown)
.Up2Date,87,(unknown)
.resx,67,(unknown)
.csproj,51,(unknown)
.ico,47,(unknown)
.png,46,(unknown)
.deps,38,(unknown)
.sql,30,(unknown)
.g,26,(unknown)
.config,20,(unknown)
.gitignore,17,(unknown)
.yml,16,(unknown)
.yaml,15,(unknown)
.rdlc,13,(unknown)
.bat,11,(unknown)
.ps1,10,(unknown)
.csv,9,(unknown)
(no extension),7,(unknown)
.sln,3,(unknown)
.ruleset,3,(unknown)
.tt,3,(unknown)
.user,3,(unknown)
.gitattributes,1,(unknown)
.cmd,1,(unknown)
.patch,1,(unknown)
.runtimeconfig,1,(unknown)
.sh,1,(unknown)
