Path,Line,Pattern,Risk
src/Server/Modules/LYBT.Module.Users/Services/UserBusinessService.cs,368,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Users/Services/UserBusinessService.cs,435,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,40,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,191,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,223,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,257,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,289,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Services/PatientBusinessService.cs,330,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Patients/Repositories/PatientRepository.cs,521,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Herbs/Services/HerbBusinessService.cs,49,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Modules/LYBT.Module.Prescriptions/Services/PrescriptionBusinessService.cs,39,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Core/LYBT.Infrastructure/Repositories/OptimizedBaseRepository.cs,567,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Core/LYBT.Infrastructure/Repositories/OptimizedBaseRepository.cs,611,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Core/LYBT.Infrastructure/Repositories/OptimizedBaseRepository.cs,725,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
src/Server/Core/LYBT.Infrastructure/Repositories/OptimizedBaseRepository.cs,746,BeginTransactionAsync,HIGH - EF Core Strategy Conflict
