Project,Path,Symbol,Kind,Action,Reason
LYBT.Infrastructure,Configuration/Dtos/SettingsCreateDto.cs,SettingsCreateDto,class,delete,完全无引用使用
LYBT.Infrastructure,Configuration/Dtos/SettingsEditDto.cs,SettingsEditDto,class,delete,完全无引用使用
LYBT.Infrastructure,Configuration/Dtos/EnumMappingDto.cs,EnumMappingDto,class,delete,完全无引用使用
LYBT.Infrastructure,Repositories/RepositoryBase.cs,RepositoryBase,class,delete,无继承者且与BaseRepository重复
LYBT.Infrastructure,Security/SensitiveDataHelper.cs,SensitiveDataHelper,class,delete,创建但所有方法未被调用
LYBT.Infrastructure,SimpleLog.cs,SimpleLog,class,delete,已被标准日志系统替代
LYBT.Infrastructure,Transactions/TransactionCoordinator.cs,TransactionCoordinator,class,delete,完整事务系统未被使用
LYBT.Infrastructure,Transactions/ITransactionCoordinator.cs,ITransactionCoordinator,interface,delete,接口无实际使用
LYBT.Infrastructure,Transactions/TransactionContext.cs,TransactionContext,class,delete,事务上下文无使用场景
LYBT.Infrastructure,Transactions/TransactionDefinition.cs,TransactionDefinition,class,delete,事务定义类无使用
LYBT.Infrastructure,Transactions/TransactionLogger.cs,TransactionLogger,class,delete,事务日志记录器无使用
LYBT.Infrastructure,Transactions/TransactionMetrics.cs,TransactionMetrics,class,delete,事务指标收集器无使用
LYBT.Infrastructure,Transactions/TransactionResult.cs,TransactionResult,class,delete,事务结果类无使用
LYBT.Infrastructure,Transactions/TransactionStepBase.cs,TransactionStepBase,class,delete,事务步骤基类无继承
LYBT.Infrastructure,Transactions/TransactionStepResult.cs,TransactionStepResult,class,delete,步骤结果类无使用
LYBT.Infrastructure,Transactions/ITransactionStep.cs,ITransactionStep,interface,delete,步骤接口无实现
LYBT.Infrastructure,Transactions/DatabaseTransactionStep.cs,DatabaseTransactionStep,class,delete,数据库事务步骤无使用
LYBT.Infrastructure,Transactions/ConditionalTransactionStep.cs,ConditionalTransactionStep,class,delete,条件事务步骤无使用
LYBT.Infrastructure,Configuration/Options/StorageOptions.cs,StorageOptions,class,delete,存储配置无绑定使用
LYBT.Infrastructure,Configuration/Options/CacheOptions.cs,CacheOptions,class,delete,缓存配置已简化此类未用
LYBT.Infrastructure,Configuration/SettingsModel.cs,SettingsModel,class,delete,设置模型无使用场景
LYBT.Infrastructure,Configuration/GlobalSettingsModel.cs,GlobalSettingsModel,class,delete,全局设置模型无使用
LYBT.Infrastructure,Data/DatabaseInitializationService.cs,LogDatabaseMetrics,method,delete,私有方法未被调用
LYBT.Infrastructure,Data/DatabaseInitializationService.cs,ValidateConnectionString,method,delete,私有方法未被调用
LYBT.Infrastructure,Security/DataEncryptionService.cs,GenerateSalt,method,delete,私有方法未被调用
LYBT.Infrastructure,Security/SecurityAuditService.cs,_auditCache,field,delete,私有字段未被访问
LYBT.Infrastructure,Caching/Adapters/MemoryCacheAdapter.cs,_statistics,field,delete,私有字段未被使用
LYBT.Infrastructure,Configuration/SimplifiedConfigurationService.cs,SimplifiedConfigurationService,class,obsolete,公共类但无外部引用
LYBT.Infrastructure,Security/SensitiveDataInterceptor.cs,SensitiveDataInterceptor,class,obsolete,EF拦截器可能无效使用
LYBT.Infrastructure,Storage/LocalFileStorageService.cs,LocalFileStorageService,class,obsolete,文件存储服务无使用场景
LYBT.Infrastructure,Security/DataEncryptionService.cs,DecryptSensitiveData,method,obsolete,解密方法无调用记录
LYBT.Infrastructure,Storage/IFileStorageService.cs,GetFileMetadata,method,obsolete,元数据获取方法无使用
LYBT.Infrastructure,Configuration/SimplifiedConfigurationService.cs,GetAllSettings,method,obsolete,获取所有设置方法无使用
LYBT.Infrastructure,Data/AppDbContext.cs,using System.Reflection,using,delete,未使用的using语句
LYBT.Infrastructure,Security/DataEncryptionService.cs,using System.Text.Json,using,delete,未使用的using语句
LYBT.Infrastructure,Repositories/BaseRepository.cs,using Microsoft.Extensions.Logging,using,delete,未使用的using语句
LYBT.Infrastructure,Configuration/SimplifiedConfigurationService.cs,using System.ComponentModel,using,delete,未使用的using语句
