Module,Layer,Class,Method,ReturnType,Parameters,CalledBy,CallsTo,HttpMethod,Endpoint,DatabaseOperation,QualityLabel
Auth,Frontend,LoginView,InitializeComponent,void,,LoginView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Auth,Frontend,LoginViewModel,LoginCommand,AsyncRelayCommand,,LoginView.CommandBinding,AuthService.LoginAsync,N/A,N/A,N/A,🟢Core
Auth,Frontend,LoginViewModel,LoginAsync,Task<ServiceResult<AuthResult>>,LoginDto,LoginCommand,AuthService.LoginAsync,N/A,N/A,N/A,🟢Core
Auth,Frontend,AuthService,LoginAsync,Task<ServiceResult<AuthResult>>,LoginDto,LoginViewModel.LoginAsync,AuthController.Login,POST,/api/v1/auth/login,N/A,🟢Core
Auth,Backend,AuthController,Login,Task<ActionResult<ApiResponse<AuthResult>>>,LoginDto,AuthService.LoginAsync,AuthBusinessService.AuthenticateAsync,POST,/api/v1/auth/login,N/A,🟢Core
Auth,Backend,AuthBusinessService,AuthenticateAsync,Task<ServiceResult<AuthResult>>,LoginDto,AuthController.Login,AuthRepository.GetByUsernameAsync,N/A,N/A,SELECT Users,🟢Core
Auth,Backend,AuthRepository,GetByUsernameAsync,Task<User>,string,AuthBusinessService.AuthenticateAsync,AppDbContext.Users,N/A,N/A,SELECT Users WHERE Username,🟢Core
Auth,Frontend,LoginViewModel,LogoutCommand,AsyncRelayCommand,,LoginView.CommandBinding,AuthService.LogoutAsync,N/A,N/A,N/A,🟢Core
Auth,Frontend,AuthService,LogoutAsync,Task<ServiceResult<bool>>,,LoginViewModel.LogoutAsync,AuthController.Logout,POST,/api/v1/auth/logout,N/A,🟢Core
Auth,Backend,AuthController,Logout,Task<ActionResult<ApiResponse<bool>>>,,AuthService.LogoutAsync,AuthBusinessService.InvalidateTokenAsync,POST,/api/v1/auth/logout,N/A,🟢Core
Auth,Backend,AuthBusinessService,InvalidateTokenAsync,Task<ServiceResult<bool>>,string,AuthController.Logout,TokenService.RevokeToken,N/A,N/A,N/A,🟢Core

Users,Frontend,UserManagementView,InitializeComponent,void,,UserManagementView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Users,Frontend,UserManagementViewModel,LoadUsersCommand,AsyncRelayCommand,,UserManagementView.CommandBinding,UserService.GetAllUsersAsync,N/A,N/A,N/A,🟢Core
Users,Frontend,UserManagementViewModel,LoadUsersAsync,Task<ServiceResult<List<UserDto>>>,,LoadUsersCommand,UserService.GetAllUsersAsync,N/A,N/A,N/A,🟢Core
Users,Frontend,UserService,GetAllUsersAsync,Task<ServiceResult<List<UserDto>>>,,UserManagementViewModel.LoadUsersAsync,UsersController.GetAll,GET,/api/v1/users,N/A,🟢Core
Users,Backend,UsersController,GetAll,Task<ActionResult<ApiResponse<List<UserDto>>>>,,UserService.GetAllUsersAsync,UserQueryService.GetAllAsync,GET,/api/v1/users,N/A,🟢Core
Users,Backend,UserQueryService,GetAllAsync,Task<ServiceResult<List<UserDto>>>,,UsersController.GetAll,UserRepository.GetAllAsync,N/A,N/A,SELECT Users,🟢Core
Users,Backend,UserRepository,GetAllAsync,Task<List<User>>,,UserQueryService.GetAllAsync,AppDbContext.Users,N/A,N/A,SELECT * FROM Users,🟢Core
Users,Frontend,UserManagementViewModel,CreateUserCommand,AsyncRelayCommand,,UserManagementView.CommandBinding,UserService.CreateUserAsync,N/A,N/A,N/A,🟢Core
Users,Frontend,UserService,CreateUserAsync,Task<ServiceResult<UserDto>>,UserCreateDto,UserManagementViewModel.CreateUserCommand,UsersController.Create,POST,/api/v1/users,N/A,🟢Core
Users,Backend,UsersController,Create,Task<ActionResult<ApiResponse<UserDto>>>,UserCreateDto,UserService.CreateUserAsync,UserBusinessService.CreateUserAsync,POST,/api/v1/users,N/A,🟢Core
Users,Backend,UserBusinessService,CreateUserAsync,Task<ServiceResult<UserDto>>,UserCreateDto,UsersController.Create,UserRepository.CreateAsync,N/A,N/A,INSERT Users,🟢Core
Users,Backend,UserRepository,CreateAsync,Task<User>,User,UserBusinessService.CreateUserAsync,AppDbContext.Users.Add,N/A,N/A,INSERT INTO Users,🟢Core

Patients,Frontend,PatientManagementView,InitializeComponent,void,,PatientManagementView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Patients,Frontend,PatientManagementViewModel,LoadPatientsCommand,AsyncRelayCommand,,PatientManagementView.CommandBinding,PatientService.GetAllPatientsAsync,N/A,N/A,N/A,🟢Core
Patients,Frontend,PatientManagementViewModel,SearchPatientsCommand,AsyncRelayCommand,,PatientManagementView.CommandBinding,PatientService.SearchPatientsAsync,N/A,N/A,N/A,🟢Core
Patients,Frontend,PatientService,GetAllPatientsAsync,Task<ServiceResult<PagedResult<PatientDto>>>,PatientSearchDto,PatientManagementViewModel.LoadPatientsCommand,PatientsController.GetAll,GET,/api/v1/patients,N/A,🟢Core
Patients,Frontend,PatientService,SearchPatientsAsync,Task<ServiceResult<PagedResult<PatientDto>>>,PatientSearchDto,PatientManagementViewModel.SearchPatientsCommand,PatientsController.Search,GET,/api/v1/patients/search,N/A,🟢Core
Patients,Backend,PatientsController,GetAll,Task<ActionResult<ApiResponse<PagedResult<PatientDto>>>>,PatientSearchDto,PatientService.GetAllPatientsAsync,PatientQueryService.SearchPatientsAsync,GET,/api/v1/patients,N/A,🟢Core
Patients,Backend,PatientsController,Search,Task<ActionResult<ApiResponse<PagedResult<PatientDto>>>>,PatientSearchDto,PatientService.SearchPatientsAsync,PatientQueryService.SearchPatientsAsync,GET,/api/v1/patients/search,N/A,🟢Core
Patients,Backend,PatientQueryService,SearchPatientsAsync,Task<ServiceResult<PagedResult<PatientDto>>>,PatientSearchDto,PatientsController.Search,PatientRepository.SearchAsync,N/A,N/A,SELECT Patients,🟢Core
Patients,Backend,PatientRepository,SearchAsync,Task<PagedResult<Patient>>,PatientSearchDto,PatientQueryService.SearchPatientsAsync,AppDbContext.Patients,N/A,N/A,SELECT Patients WHERE criteria,🟢Core
Patients,Frontend,PatientManagementViewModel,CreatePatientCommand,AsyncRelayCommand,,PatientManagementView.CommandBinding,PatientService.CreatePatientAsync,N/A,N/A,N/A,🟢Core
Patients,Frontend,PatientService,CreatePatientAsync,Task<ServiceResult<PatientDto>>,PatientCreateDto,PatientManagementViewModel.CreatePatientCommand,PatientsController.Create,POST,/api/v1/patients,N/A,🟢Core
Patients,Backend,PatientsController,Create,Task<ActionResult<ApiResponse<PatientDto>>>,PatientCreateDto,PatientService.CreatePatientAsync,PatientBusinessService.CreatePatientAsync,POST,/api/v1/patients,N/A,🟢Core
Patients,Backend,PatientBusinessService,CreatePatientAsync,Task<ServiceResult<PatientDto>>,PatientCreateDto,PatientsController.Create,PatientRepository.CreateAsync,N/A,N/A,INSERT Patients,🟢Core

MedicalCase,Frontend,MedicalCaseView,InitializeComponent,void,,MedicalCaseView.Constructor,N/A,N/A,N/A,N/A,🟢Core
MedicalCase,Frontend,MedicalCaseViewModel,CreateCaseCommand,AsyncRelayCommand,,MedicalCaseView.CommandBinding,MedicalCaseService.CreateCaseAsync,N/A,N/A,N/A,🟢Core
MedicalCase,Frontend,MedicalCaseViewModel,LoadCasesCommand,AsyncRelayCommand,,MedicalCaseView.CommandBinding,MedicalCaseService.GetCasesByPatientAsync,N/A,N/A,N/A,🟢Core
MedicalCase,Frontend,MedicalCaseService,CreateCaseAsync,Task<ServiceResult<MedicalCaseDto>>,MedicalCaseCreateDto,MedicalCaseViewModel.CreateCaseCommand,MedicalCaseController.Create,POST,/api/v1/medical-cases,N/A,🟢Core
MedicalCase,Frontend,MedicalCaseService,GetCasesByPatientAsync,Task<ServiceResult<List<MedicalCaseDto>>>,Guid,MedicalCaseViewModel.LoadCasesCommand,MedicalCaseController.GetByPatient,GET,/api/v1/medical-cases/patient/{patientId},N/A,🟢Core
MedicalCase,Backend,MedicalCaseController,Create,Task<ActionResult<ApiResponse<MedicalCaseDto>>>,MedicalCaseCreateDto,MedicalCaseService.CreateCaseAsync,MedicalCaseBusinessService.CreateAsync,POST,/api/v1/medical-cases,N/A,🟢Core
MedicalCase,Backend,MedicalCaseController,GetByPatient,Task<ActionResult<ApiResponse<List<MedicalCaseDto>>>>,Guid,MedicalCaseService.GetCasesByPatientAsync,MedicalCaseQueryService.GetByPatientIdAsync,GET,/api/v1/medical-cases/patient/{patientId},N/A,🟢Core
MedicalCase,Backend,MedicalCaseBusinessService,CreateAsync,Task<ServiceResult<MedicalCaseDto>>,MedicalCaseCreateDto,MedicalCaseController.Create,MedicalCaseRepository.CreateAsync,N/A,N/A,INSERT MedicalCases,🟢Core
MedicalCase,Backend,MedicalCaseQueryService,GetByPatientIdAsync,Task<ServiceResult<List<MedicalCaseDto>>>,Guid,MedicalCaseController.GetByPatient,MedicalCaseRepository.GetByPatientIdAsync,N/A,N/A,SELECT MedicalCases,🟢Core
MedicalCase,Backend,MedicalCaseRepository,CreateAsync,Task<MedicalCase>,MedicalCase,MedicalCaseBusinessService.CreateAsync,AppDbContext.MedicalCases.Add,N/A,N/A,INSERT INTO MedicalCases,🟢Core
MedicalCase,Backend,MedicalCaseRepository,GetByPatientIdAsync,Task<List<MedicalCase>>,Guid,MedicalCaseQueryService.GetByPatientIdAsync,AppDbContext.MedicalCases,N/A,N/A,SELECT MedicalCases WHERE PatientId,🟢Core

Consultation,Frontend,ConsultationView,InitializeComponent,void,,ConsultationView.Constructor,N/A,N/A,N/A,N/A,🟢Core
Consultation,Frontend,ConsultationViewModel,StartConsultationCommand,AsyncRelayCommand,,ConsultationView.CommandBinding,ConsultationService.CreateConsultationAsync,N/A,N/A,N/A,🟢Core
Consultation,Frontend,ConsultationViewModel,SaveDiagnosisCommand,AsyncRelayCommand,,ConsultationView.CommandBinding,ConsultationService.UpdateConsultationAsync,N/A,N/A,N/A,🟢Core
Consultation,Frontend,ConsultationViewModel,SaveSymptomCommand,AsyncRelayCommand,,ConsultationView.CommandBinding,ConsultationService.UpdateConsultationAsync,N/A,N/A,N/A,🟢Core
Consultation,Frontend,ConsultationService,CreateConsultationAsync,Task<ServiceResult<ConsultationDto>>,ConsultationCreateDto,ConsultationViewModel.StartConsultationCommand,ConsultationController.Create,POST,/api/v1/consultations,N/A,🟢Core
