ProjectName,Type,Path,TargetFramework,HasWebAPI,HasWPF,HasDbContext,HasDTOs,IsIntegrationTest,IsCore,ProjectRefsCount,PackageRefsCount
LYBT.Shared.Models,Library,src/Shared/LYBT.Shared.Models,net8.0,false,false,false,true,false,true,0,3
LYBT.Shared.Interfaces,Library,src/Shared/LYBT.Shared.Interfaces,net8.0,false,false,false,false,false,true,1,2
LYBT.Shared.Utilities,Library,src/Shared/LYBT.Shared.Utilities,net8.0,false,false,false,false,false,true,1,3
LYBT.Infrastructure,Library,src/Server/Core/LYBT.Infrastructure,net8.0,false,false,true,false,false,true,4,21
LYBT.Entities,Library,src/Server/Core/LYBT.Entities,net8.0,false,false,false,false,false,true,2,0
LYBT.Module.Auth,Library,src/Server/Modules/LYBT.Module.Auth,net8.0,false,false,false,true,false,false,5,6
LYBT.Module.Users,Library,src/Server/Modules/LYBT.Module.Users,net8.0,false,false,false,true,false,false,4,6
LYBT.Module.Patients,Library,src/Server/Modules/LYBT.Module.Patients,net8.0,false,false,false,true,false,false,4,6
LYBT.Module.MedicalCase,Library,src/Server/Modules/LYBT.Module.MedicalCase,net8.0,false,false,false,true,false,false,4,6
LYBT.Module.Consultation,Library,src/Server/Modules/LYBT.Module.Consultation,net8.0,false,false,false,true,false,false,4,6
LYBT.Module.Prescriptions,Library,src/Server/Modules/LYBT.Module.Prescriptions,net8.0,true,false,false,true,false,false,4,6
LYBT.Module.Herbs,Library,src/Server/Modules/LYBT.Module.Herbs,net8.0,false,false,false,true,false,false,4,6
LYBT.Module.Formula,Library,src/Server/Modules/LYBT.Module.Formula,net8.0,false,false,false,true,false,false,4,6
LYBT.WebAPI,WebAPI,src/Server/Services/LYBT.WebAPI,net8.0,true,false,false,false,false,false,11,4
LYBT.Desktop.Core,Library,src/Client/Desktop/Core,net8.0-windows,false,true,false,false,false,true,3,3
LYBT.Desktop.Infrastructure,Library,src/Client/Desktop/Infrastructure,net8.0-windows,false,true,false,false,false,true,2,5
LYBT.Desktop.Services,Library,src/Client/Desktop/Services,net8.0-windows,false,false,false,false,false,false,3,5
LYBT.Desktop.Auth,WPF,src/Client/Desktop/Modules/Auth,net8.0-windows,false,true,false,false,false,false,3,3
LYBT.Desktop.Users,WPF,src/Client/Desktop/Modules/Users,net8.0-windows,false,true,false,false,false,false,3,3
