ProjectName,ProjectType,LayerCategory,Path,TFM,ControllerCount,ServiceCount,RepositoryCount,EntityCount,DTOCount,ViewModelCount,EnumCount,ViewCount,SuspectApiOutsideWebApi,SuspectDtoDup,SuspectEnumDup,SuspectRoleMismatch,SuspectMissing,OtherInconsistencies,RecommendationLevel
LYBT.Shared.Models,Library,共享层,src/Shared/LYBT.Shared.Models,net8.0,0,0,0,0,80,0,多个,0,false,false,false,false,false,0,保留
LYBT.Shared.Interfaces,Library,共享层,src/Shared/LYBT.Shared.Interfaces,net8.0,0,0,0,0,0,0,0,0,false,false,false,false,false,1,保留
LYBT.Shared.Utilities,Library,共享层,src/Shared/LYBT.Shared.Utilities,net8.0,0,0,0,0,0,0,2,0,false,false,false,false,false,2,保留
LYBT.Infrastructure,Library,服务器核心层,src/Server/Core/LYBT.Infrastructure,net8.0,0,6,0,0,0,0,6,0,false,false,false,false,false,0,保留
LYBT.Entities,Library,服务器核心层,src/Server/Core/LYBT.Entities,net8.0,0,0,0,16,0,0,0,0,false,false,false,false,false,2,保留
LYBT.Module.Auth,Library,服务器模块层,src/Server/Modules/LYBT.Module.Auth,net8.0,0,3,2,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Users,Library,服务器模块层,src/Server/Modules/LYBT.Module.Users,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Patients,Library,服务器模块层,src/Server/Modules/LYBT.Module.Patients,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.MedicalCase,Library,服务器模块层,src/Server/Modules/LYBT.Module.MedicalCase,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Consultation,Library,服务器模块层,src/Server/Modules/LYBT.Module.Consultation,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Prescriptions,Library,服务器模块层,src/Server/Modules/LYBT.Module.Prescriptions,net8.0,0,5,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Herbs,Library,服务器模块层,src/Server/Modules/LYBT.Module.Herbs,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Module.Formula,Library,服务器模块层,src/Server/Modules/LYBT.Module.Formula,net8.0,0,3,1,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.WebAPI,WebAPI,服务器服务层,src/Server/Services/LYBT.WebAPI,net8.0,9,0,0,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Desktop.Core,Library,客户端核心层,src/Client/Desktop/Core,net8.0-windows,0,0,0,0,0,多个,0,0,false,false,false,false,false,0,保留
LYBT.Desktop.Infrastructure,Library,客户端核心层,src/Client/Desktop/Infrastructure,net8.0-windows,0,多个,0,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Desktop.Services,Library,客户端核心层,src/Client/Desktop/Services,net8.0-windows,0,多个,0,0,0,0,0,0,false,false,false,false,false,0,保留
LYBT.Desktop.Auth,WPF,客户端模块层,src/Client/Desktop/Modules/Auth,net8.0-windows,0,0,0,0,0,2,0,2,false,false,false,false,false,1,保留
LYBT.Desktop.Users,WPF,客户端模块层,src/Client/Desktop/Modules/Users,net8.0-windows,0,0,0,0,0,2,0,6,false,false,false,false,false,0,保留
LYBT.Desktop.Patients,WPF,客户端模块层,src/Client/Desktop/Modules/Patients,net8.0-windows,0,0,0,0,0,4,0,4,false,false,false,false,false,0,保留
LYBT.Desktop.MedicalCase,WPF,客户端模块层,src/Client/Desktop/Modules/MedicalCase,net8.0-windows,0,0,0,0,0,4,0,4,false,false,false,false,false,0,保留
LYBT.Desktop.Consultation,WPF,客户端模块层,src/Client/Desktop/Modules/Consultation,net8.0-windows,0,0,0,0,0,2,0,2,false,false,false,false,false,1,保留
LYBT.Desktop.Prescriptions,WPF,客户端模块层,src/Client/Desktop/Modules/Prescriptions,net8.0-windows,0,0,0,0,0,7,0,6,false,false,false,false,false,0,保留
LYBT.Desktop.Herbs,WPF,客户端模块层,src/Client/Desktop/Modules/Herbs,net8.0-windows,0,0,0,0,0,2,0,3,false,false,false,false,false,1,保留
LYBT.Desktop.Formula,WPF,客户端模块层,src/Client/Desktop/Modules/Formula,net8.0-windows,0,0,0,0,0,4,0,5,false,false,false,false,false,0,保留
LYBT.Desktop.Workbench.Core,Library,客户端工作台层,src/Client/Desktop/Workbenches/Core,net8.0-windows,0,0,0,0,0,多个,0,0,false,false,false,false,false,0,保留
LYBT.Desktop.Workbench.Consultation,WPF,客户端工作台层,src/Client/Desktop/Workbenches/ConsultationWorkbench,net8.0-windows,0,0,0,0,0,1,0,1,false,false,false,false,false,0,保留
LYBT.Desktop.Workbench.Admin,WPF,客户端工作台层,src/Client/Desktop/Workbenches/SystemWorkbench,net8.0-windows,0,0,0,0,0,1,0,1,false,false,false,false,false,0,保留
LYBT.Desktop.Shell,WPF,客户端外壳层,src/Client/Desktop/Shell,net8.0-windows,0,0,0,0,0,多个,0,多个,false,false,false,false,false,0,保留
