Method,Path,Status,Controller,Authorization,PostmanFolder,Notes
GET,/api/v1/auth/validate,MATCHED,AuthController,Authorize,0. Auth,
POST,/api/v1/auth/login,MATCHED,AuthController,AllowAnonymous,0. Auth,Duplicate in Setup and Diagnostics
POST,/api/v1/auth/auto-login,MATCHED,AuthController,AllowAnonymous,0. Auth,
POST,/api/v1/auth/logout,MATCHED,AuthController,AllowAnonymous,0. Auth,
POST,/api/v1/auth/refresh,MATCHED,AuthController,AllowAnonymous,0. Auth,
GET,/api/v1/users,MATCHED,UsersController,AdminOnly,2. Users & Patients,Duplicate in folder
GET,/api/v1/users/current,MATCHED,UsersController,Authorize,2. Users & Patients,
GET,/api/v1/users/{id},MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
POST,/api/v1/users,MATCHED,UsersController,AdminOnly,1. Setup,Helper request stores testUserId
PUT,/api/v1/users/{id},MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
DELETE,/api/v1/users/{id},MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
POST,/api/v1/users/{id}/reset-password,MISSING_IN_POSTMAN,UsersController,SuperAdminOnly,,NOT FOUND
PUT,/api/v1/users/{id}/profile,MISSING_IN_POSTMAN,UsersController,Authorize,,NOT FOUND
PUT,/api/v1/users/{id}/change-password,MISSING_IN_POSTMAN,UsersController,Authorize,,NOT FOUND
POST,/api/v1/users/{id}/toggle-status,MATCHED,UsersController,AdminOnly,2. Users & Patients,
POST,/api/v1/users/{id}/restore,MISSING_IN_POSTMAN,UsersController,SuperAdminOnly,,NOT FOUND
POST,/api/v1/users/batch-delete,MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
POST,/api/v1/users/batch-enable,MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
POST,/api/v1/users/batch-disable,MISSING_IN_POSTMAN,UsersController,AdminOnly,,NOT FOUND
GET,/api/v1/patients,MISSING_IN_POSTMAN,PatientsController,PatientAccess,,NOT FOUND
GET,/api/v1/patients/{id},MISSING_IN_POSTMAN,PatientsController,PatientAccess,,NOT FOUND
POST,/api/v1/patients,MATCHED,PatientsController,PatientAccess,1. Setup,Helper request stores testPatientId
PUT,/api/v1/patients/{id},MISSING_IN_POSTMAN,PatientsController,PatientAccess,,NOT FOUND
DELETE,/api/v1/patients/{id},MISSING_IN_POSTMAN,PatientsController,PatientAccess,,NOT FOUND
POST,/api/v1/patients/{id}/toggle-status,MATCHED,PatientsController,PatientAccess,2. Users & Patients,
POST,/api/v1/patients/{id}/restore,MATCHED,PatientsController,PatientAccess,2. Users & Patients,
POST,/api/v1/patients/batch-delete,MATCHED,PatientsController,PatientAccess,2. Users & Patients,
GET,/api/v1/patients/{id}/check-reference,MATCHED,PatientsController,PatientAccess,2. Users & Patients,
POST,/api/v1/patients/batch-check-reference,MATCHED,PatientsController,PatientAccess,2. Users & Patients,
GET,/api/v1/herbs,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
GET,/api/v1/herbs/{id},MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,Duplicate in Setup
PUT,/api/v1/herbs/{id},MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
DELETE,/api/v1/herbs/{id},MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/batch-import,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
GET,/api/v1/herbs/export-all,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
GET,/api/v1/herbs/{id}/check-reference,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/batch-check-reference,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/{id}/toggle-status,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/{id}/restore,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/batch-enable,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/batch-disable,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
POST,/api/v1/herbs/batch-delete,MATCHED,HerbsController,DoctorOrAdmin,8. Herbs,
GET,/api/v1/formulas,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
GET,/api/v1/formulas/{id},MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,Duplicate in Setup
PUT,/api/v1/formulas/{id},MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
DELETE,/api/v1/formulas/{id},MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/batch-import,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
GET,/api/v1/formulas/pending-validation,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/{formulaId}/herbs/{herbItemId}/validate,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/{id}/toggle-status,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/{id}/restore,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/batch-delete,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/batch-enable,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/formulas/batch-disable,MATCHED,FormulasController,DoctorOrAdmin,9. Formulas,
POST,/api/v1/medicalcases,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
PUT,/api/v1/medicalcases/{id}/prescription-flag,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
PUT,/api/v1/medicalcases/{id},MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
DELETE,/api/v1/medicalcases/{id},MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
POST,/api/v1/medicalcases/batch-delete,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
POST,/api/v1/medicalcases/batch-details,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
GET,/api/v1/medicalcases/{id},MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
GET,/api/v1/medicalcases,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
GET,/api/v1/medicalcases/query,MISSING_IN_POSTMAN,MedicalCasesController,DoctorOrAdmin,,NOT FOUND (deprecated - see analysis notes)
GET,/api/v1/medicalcases/search,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
GET,/api/v1/medicalcases/{medicalCaseId}/consultations,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
GET,/api/v1/medicalcases/{medicalCaseId}/prescriptions,MATCHED,MedicalCasesController,DoctorOrAdmin,4. Medical Cases,
PUT,/api/v1/medicalcases/{id}/status,MATCHED,MedicalCaseProcessingController,DoctorOrAdmin,5. Medical Case Workflow,
PUT,/api/v1/medicalcases/{id}/close,MATCHED,MedicalCaseProcessingController,DoctorOrAdmin,5. Medical Case Workflow,
PUT,/api/v1/medicalcases/{id}/suspend,MATCHED,MedicalCaseProcessingController,DoctorOrAdmin,5. Medical Case Workflow,
PUT,/api/v1/medicalcases/{id}/cancel,MATCHED,MedicalCaseProcessingController,DoctorOrAdmin,5. Medical Case Workflow,
