Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	111	
Error (active)	CS1729	'ApiResponse<bool>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	250	
Error (active)	CS1729	'ApiResponse<bool>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	263	
Error (active)	CS1729	'ApiResponse<bool>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	269	
Error (active)	CS1729	'ApiResponse<bool>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	277	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	87	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	97	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	103	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	133	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	141	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	157	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	163	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	171	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	195	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	203	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	216	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	222	
Error (active)	CS1729	'ApiResponse<CompatibilityNoteDto>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	230	
Error (active)	CS1729	'ApiResponse<List<CompatibilityNoteDto>>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	43	
Error (active)	CS1729	'ApiResponse<List<CompatibilityNoteDto>>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	53	
Error (active)	CS1729	'ApiResponse<List<CompatibilityNoteDto>>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	59	
Error (active)	CS1729	'ApiResponse<List<CompatibilityNoteDto>>' does not contain a constructor that takes 3 arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Controllers\CompatibilityNotesController.cs	67	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetData' and no accessible extension method 'GetData' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	83	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetData' and no accessible extension method 'GetData' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	112	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetData' and no accessible extension method 'GetData' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	264	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetData' and no accessible extension method 'GetData' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	187	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetEntityId' and no accessible extension method 'GetEntityId' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	169	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'GetEntityId' and no accessible extension method 'GetEntityId' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	187	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	50	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	61	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	72	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	106	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	60	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	99	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	63	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	73	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	94	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	49	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	49	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogError' and the best extension method overload 'LoggerExtensions.LogError(ILogger, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	55	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogWarning' and the best extension method overload 'LoggerExtensions.LogWarning(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	87	
Error (active)	CS1929	'ConsultationTransactionContext' does not contain a definition for 'LogWarning' and the best extension method overload 'LoggerExtensions.LogWarning(ILogger, EventId, string?, params object?[])' requires a receiver of type 'Microsoft.Extensions.Logging.ILogger'	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	79	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'RemoveEntityId' and no accessible extension method 'RemoveEntityId' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\CreateMedicalCaseStep.cs	186	
Error (active)	CS1061	'ConsultationTransactionContext' does not contain a definition for 'RemoveEntityId' and no accessible extension method 'RemoveEntityId' accepting a first argument of type 'ConsultationTransactionContext' could be found (are you missing a using directive or an assembly reference?)	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\InitializeConsultationStep.cs	203	
