"File","Method","Line","Definition"
"src\Client\Desktop\Core\Controls\VirtualizedDataGrid.xaml.cs","DataGrid_ScrollChanged","108","private void DataGrid_ScrollChanged(object sender, ScrollChangedEventArgs e)"
"src\Client\Desktop\Core\Services\Configuration\SecureConfigurationService.cs","GetMachineKey","907","private string GetMachineKey()"
"src\Client\Desktop\Core\Views\PrintPreviewDialog.xaml.cs","PrintButton_Click","37","private async void PrintButton_Click(object sender, RoutedEventArgs e)"
"src\Client\Desktop\Core\Views\PrintPreviewDialog.xaml.cs","SaveButton_Click","110","private async void SaveButton_Click(object sender, RoutedEventArgs e)"
"src\Client\Desktop\Core\Views\PrintPreviewDialog.xaml.cs","CloseButton_Click","182","private void CloseButton_Click(object sender, RoutedEventArgs e)"
"src\Client\Desktop\Modules\Auth\Views\LoginView.xaml.cs","PasswordBox_PasswordChanged","17","private void PasswordBox_PasswordChanged(object sender, System.Windows.RoutedEventArgs e)"
"src\Client\Desktop\Modules\Auth\Views\LoginWindow.xaml.cs","PasswordChanged","21","private void PasswordChanged(PasswordBox passwordBox)"
"src\Client\Desktop\Modules\Users\Views\ChangePasswordDialog.xaml.cs","OnPasswordChanged","18","private void OnPasswordChanged(object sender, RoutedEventArgs e)"
"src\Client\Desktop\Modules\Users\Views\ResetPasswordDialog.xaml.cs","OnPasswordChanged","18","private void OnPasswordChanged(object sender, RoutedEventArgs e)"
"src\Client\Desktop\Services\PermissionService.cs","HasAdminLevelPermission","164","private bool HasAdminLevelPermission(string permission)"
"src\Client\Desktop\Shell\ViewModels\MainWindowViewModel.cs","ConvertToUserDto","606","private static UserDto ConvertToUserDto(UserDto userDto)"
