严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	CA1860	首选使用可用的 'IsEmpty'、'Count' 或 'Length' 属性，而不是调用 'Enumerable.Any()'。意向更清晰，其性能高于使用 'Enumerable.Any() 扩展方法。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	145	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	35	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	434	
消息(活动)	IDE0270	可以简化 Null 检查	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	458	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	468	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	469	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.cs	469	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserBusinessHelper.Refactored.cs	31	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserValidationHelper.cs	29	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserValidationHelper.cs	246	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserValidationHelper.cs	275	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserValidationHelper.cs	303	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Helpers\UserValidationHelper.cs	311	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Account\UserAccountService.cs	23	
消息(活动)	IDE0270	可以简化 Null 检查	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Account\UserAccountService.cs	128	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Account\UserAccountService.cs	137	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Account\UserAccountService.cs	138	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Account\UserAccountService.cs	138	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Batch\UserBatchService.cs	26	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Batch\UserBatchService.cs	138	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	35	
消息(活动)	IDE0270	可以简化 Null 检查	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	228	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	237	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	238	
消息(活动)	IDE0060	请避免在代码中使用未使用的参数。如果无法删除该参数，请更改其名称，使其以下划线开头，也可在下划线后面跟一个整数(如 "_"、"_1"、"_2" 等)。这些被视为特殊丢弃符号名。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	238	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserCrudService.cs	257	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserServiceCore.cs	30	
消息(活动)	CA1822	不访问实例数据或调用实例方法的成员可标记为 static。将方法标记为 static 后，编译器将向这些成员发出非虚拟调用站点。这样可使对性能比较敏感的代码获得显著的性能提升。	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Core\UserServiceCore.cs	232	
消息(活动)	IDE0130	命名空间“LYBT.Module.Users.Interfaces”与文件夹结构不匹配，应为“LYBT.Module.Users.Services.Interfaces”	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Interfaces\IUserBusinessService.cs	8	
消息(活动)	IDE0130	命名空间“LYBT.Module.Users.Interfaces”与文件夹结构不匹配，应为“LYBT.Module.Users.Services.Interfaces”	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\Interfaces\IUserQueryService.cs	8	
消息(活动)	IDE0290	使用主构造函数	LYBT.Module.Users	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Users\Services\UserBusinessService.cs	31	
