Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	SA1202	'public' members should come before 'protected' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Redux\StateViewModel.cs	125	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Mvvm\ObservableObject.cs	234	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\BaseApiService.cs	202	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Validation\ValidationBase.cs	249	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\DialogViewModel.cs	96	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\EnhancedServiceManagementViewModel.cs	198	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\NewBaseListViewModel.cs	182	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\ServiceViewModel.cs	440	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Dialogs\HerbSelectionDialogViewModel.cs	239	
Warning (active)	SA1202	'protected' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\DialogViewModelBase.cs	157	
